t,y
0.0,1.0
0.1,1.0907722178143813
0.35718763873470927,1.393974316571763
0.5917127602913694,1.77086037749523
0.8262378818480307,2.20832728516606
1.0285688393896781,2.5560477796414456
1.1655514850767743,2.7454007842749273
1.309890133484603,2.8957200321204337
1.4568451008207743,3.000416869789402
1.6118999000660288,3.06817458257476
1.7976171642541263,3.1082842117308784
2.0424760986811834,3.122817945824248
2.384818362888341,3.104024444656323
2.467984612052085,3.123424041502985
2.5632917262567365,3.132804622379484
2.727715794746686,3.1314410391932204
2.8845073330592137,3.126193220615452
2.9633930106369166,3.1328461295835623
3.045899908246578,3.1357759927301188
3.169181457221382,3.131024903384133
3.233751677516056,3.1349145617020144
3.301314308903314,3.136605814706798
3.394877892012351,3.1330213778946963
3.4463173067887367,3.1361674105804442
3.499250681196731,3.1377347555272546
3.574515786200272,3.135287610734043
3.6234082487463617,3.136728297201554
3.6734314247202735,3.137316648034582
3.7321161676526415,3.1357319570793036
3.7709996074450762,3.137556246385253
3.810302052033956,3.138586726422364
3.8630375403124804,3.137183684653684
3.9026012876269487,3.1376766227802344
3.942676011032763,3.137736334522019
3.9816432438699674,3.1377007673128703
4.017380058213077,3.1380208041918713
4.053176143586816,3.1380618056653824
4.08731888465195,3.1381820656121096
4.120348116047965,3.138291663867442
4.152293165317624,3.1383998945216423
4.18327795204798,3.13849572007402
4.213302075266126,3.1385916880356874
4.2424814150735255,3.138676001821366
4.27080225153308,3.138761783835427
4.298375238448293,3.1388364298198015
4.325175397265535,3.138913666718928
4.351309927591025,3.1389801098162753
4.376744132002034,3.1390501135006765
4.401583099345774,3.1391095321141127
4.4257835896607824,3.139173364002055
4.449449614683268,3.1392267167725327
4.472530303108215,3.139285244831619
4.4951293953402445,3.1393333195648125
4.51718910340189,3.139387260445795
4.538813531993931,3.1394307105298096
4.559938543371794,3.1394806611518695
4.58066911336173,3.139520033043231
4.6009352088008475,3.139566494587323
4.620843084756146,3.139602248819719
4.640317180237003,3.139645645176253
4.659465361145267,3.1396781726050103
4.678206838651265,3.1397188647153778
4.696651361145766,3.139748499211911
4.714713158746073,3.1397867963317125
4.732504086580111,3.139813824801029
4.749933598241578,3.139849993429032
4.767115842015682,3.1398746637863586
4.783955665653338,3.1399089348045943
4.8005696665810005,3.139931462380195
4.816858230060186,3.1399640368097086
4.832940533964383,3.139984609531674
4.8487126221949834,3.1400156632071856
4.86429636422402,3.1400344458257985
4.879583565525324,3.140064133218925
4.894698881749549,3.140081270773152
4.909529967882099,3.1401097281397603
4.9242043466198355,3.140125348819882
4.9386055979720505,3.1401526968069273
4.952864181134026,3.1401669143325543
4.966859666295264,3.1401932601496703
4.9807255090442,3.1402061757562296
4.994337326232594,3.1402316149945344
5.007831621691157,3.1402433191014176
